Soort,Familie,Haven,Hoeveelheid in kg,Hoeveelheid in EU,year,month
Heek,Bodemvis,Zeebrugge,317.0,732.0,2012,02
Steenbolk,Bodemvis,Zeebrugge,38631.0,15492.0,2012,02
Schol,Bodemvis,Zeebrugge,172400.0,233748.0,2012,02
Bot,Bodemvis,Zeebrugge,9268.0,6226.0,2012,02
Schar,Bodemvis,Zeebrugge,17983.0,13572.0,2012,02
Tong,Bodemvis,Zeebrugge,184149.0,2175446.0,2012,02
Tarbot,Bodemvis,Zeebrugge,12740.0,131392.0,2012,02
Griet,Bodemvis,Zeebrugge,15469.0,105096.0,2012,02
Tongschar,Bodemvis,Zeebrugge,52500.0,204740.0,2012,02
Schartong,Bodemvis,Zeebrugge,31014.0,88480.0,2012,02
Heilbot,Bodemvis,Zeebrugge,0.0,0.0,2012,02
Rog,Bodemvis,Zeebrugge,70608.0,138534.0,2012,02
Rode poon,Bodemvis,Zeebrugge,61062.0,111228.0,2012,02
Grauwe poon,Bodemvis,Zeebrugge,1998.0,746.0,2012,02
Engelse poon,Bodemvis,Zeebrugge,65105.0,53948.0,2012,02
Zeewolf,Bodemvis,Zeebrugge,0.0,0.0,2012,02
Zeeduivel,Bodemvis,Zeebrugge,31946.0,255430.0,2012,02
Kongeraal,Bodemvis,Zeebrugge,4191.0,5182.0,2012,02
Roodbaars,Bodemvis,Zeebrugge,0.0,0.0,2012,02
Mul,Bodemvis,Zeebrugge,8832.0,49604.0,2012,02
Zeebaars,Bodemvis,Zeebrugge,3415.0,24498.0,2012,02
Doornhaai,Bodemvis,Zeebrugge,0.0,0.0,2012,02
Hondshaai,Bodemvis,Zeebrugge,26858.0,13774.0,2012,02
Zandhaai,Bodemvis,Zeebrugge,0.0,0.0,2012,02
Andere soorten,Bodemvis,Zeebrugge,18830.0,64422.0,2012,02
Haring,Pelagische Vis,Zeebrugge,0.0,0.0,2012,02
Makreel,Pelagische Vis,Zeebrugge,0.0,0.0,2012,02
Sprot,Pelagische Vis,Zeebrugge,0.0,0.0,2012,02
Andere soorten,Pelagische Vis,Zeebrugge,2112.0,5096.0,2012,02
Langoestine geheel,Schaal- en Weekdieren,Zeebrugge,168.0,846.0,2012,02
Langoestine staartje,Schaal- en Weekdieren,Zeebrugge,170.0,1254.0,2012,02
Noordzeekrab,Schaal- en Weekdieren,Zeebrugge,1471.0,4686.0,2012,02
Zeekreeft,Schaal- en Weekdieren,Zeebrugge,33.0,454.0,2012,02
Andere schaaldieren,Schaal- en Weekdieren,Zeebrugge,248.0,188.0,2012,02
Schelpen,Schaal- en Weekdieren,Zeebrugge,39995.0,85510.0,2012,02
Inktvis,Schaal- en Weekdieren,Zeebrugge,88805.0,291886.0,2012,02
Wulk,Schaal- en Weekdieren,Zeebrugge,6465.0,2324.0,2012,02
Andere soorten,Schaal- en Weekdieren,Zeebrugge,0.0,0.0,2012,02
Schelvis,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Kabeljauw,Bodemvis,Nieuwpoort,1130.0,3264.0,2012,02
Koolvis,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Wijting,Bodemvis,Nieuwpoort,37.0,24.0,2012,02
Pollak,Bodemvis,Nieuwpoort,3.0,2.0,2012,02
Leng,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Heek,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Steenbolk,Bodemvis,Nieuwpoort,5.0,4.0,2012,02
Schol,Bodemvis,Nieuwpoort,482.0,462.0,2012,02
Bot,Bodemvis,Nieuwpoort,37.0,12.0,2012,02
Schar,Bodemvis,Nieuwpoort,183.0,174.0,2012,02
Tong,Bodemvis,Nieuwpoort,1293.0,15074.0,2012,02
Tarbot,Bodemvis,Nieuwpoort,80.0,980.0,2012,02
Griet,Bodemvis,Nieuwpoort,28.0,164.0,2012,02
Tongschar,Bodemvis,Nieuwpoort,75.0,226.0,2012,02
Schartong,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Heilbot,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Rog,Bodemvis,Nieuwpoort,4957.0,9784.0,2012,02
Rode poon,Bodemvis,Nieuwpoort,7.0,22.0,2012,02
Grauwe poon,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Engelse poon,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Zeewolf,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Zeeduivel,Bodemvis,Nieuwpoort,5.0,22.0,2012,02
Kongeraal,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Roodbaars,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Mul,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Zeebaars,Bodemvis,Nieuwpoort,26.0,206.0,2012,02
Doornhaai,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Hondshaai,Bodemvis,Nieuwpoort,235.0,168.0,2012,02
Zandhaai,Bodemvis,Nieuwpoort,0.0,0.0,2012,02
Andere soorten,Bodemvis,Nieuwpoort,31.0,82.0,2012,02
Haring,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,02
Makreel,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,02
Sprot,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,02
Andere soorten,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,02
Langoestine geheel,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,02
Langoestine staartje,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,02
Noordzeekrab,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,02
Zeekreeft,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,02
Andere schaaldieren,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,02
Schelpen,Schaal- en Weekdieren,Nieuwpoort,26.0,70.0,2012,02
Inktvis,Schaal- en Weekdieren,Nieuwpoort,2.0,4.0,2012,02
Wulk,Schaal- en Weekdieren,Nieuwpoort,190.0,126.0,2012,02
Andere soorten,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,02
Schelvis,Bodemvis,Oostende,3702.0,5216.0,2012,03
Kabeljauw,Bodemvis,Oostende,16714.0,54932.0,2012,03
Koolvis,Bodemvis,Oostende,4.0,10.0,2012,03
Wijting,Bodemvis,Oostende,11061.0,9374.0,2012,03
Pollak,Bodemvis,Oostende,1737.0,5932.0,2012,03
Leng,Bodemvis,Oostende,1817.0,4434.0,2012,03
Heek,Bodemvis,Oostende,100.0,302.0,2012,03
Steenbolk,Bodemvis,Oostende,13182.0,6478.0,2012,03
Schol,Bodemvis,Oostende,122792.0,155084.0,2012,03
Bot,Bodemvis,Oostende,40563.0,27714.0,2012,03
Schar,Bodemvis,Oostende,14796.0,7338.0,2012,03
Tong,Bodemvis,Oostende,139319.0,1420594.0,2012,03
Tarbot,Bodemvis,Oostende,7097.0,71604.0,2012,03
Griet,Bodemvis,Oostende,9041.0,60004.0,2012,03
Tongschar,Bodemvis,Oostende,18516.0,60284.0,2012,03
Schartong,Bodemvis,Oostende,5112.0,8284.0,2012,03
Heilbot,Bodemvis,Oostende,0.0,0.0,2012,03
Rog,Bodemvis,Oostende,19335.0,58608.0,2012,03
Rode poon,Bodemvis,Oostende,16951.0,35172.0,2012,03
Grauwe poon,Bodemvis,Oostende,399.0,122.0,2012,03
Engelse poon,Bodemvis,Oostende,22575.0,25138.0,2012,03
Zeewolf,Bodemvis,Oostende,0.0,0.0,2012,03
Zeeduivel,Bodemvis,Oostende,13856.0,150372.0,2012,03
Kongeraal,Bodemvis,Oostende,1648.0,1904.0,2012,03
Roodbaars,Bodemvis,Oostende,0.0,0.0,2012,03
Mul,Bodemvis,Oostende,18.0,36.0,2012,03
Zeebaars,Bodemvis,Oostende,1102.0,8190.0,2012,03
Doornhaai,Bodemvis,Oostende,0.0,0.0,2012,03
Hondshaai,Bodemvis,Oostende,13141.0,10386.0,2012,03
Zandhaai,Bodemvis,Oostende,22.0,12.0,2012,03
Andere soorten,Bodemvis,Oostende,9208.0,38262.0,2012,03
Haring,Pelagische Vis,Oostende,175.0,220.0,2012,03
Makreel,Pelagische Vis,Oostende,3.0,6.0,2012,03
Sprot,Pelagische Vis,Oostende,0.0,0.0,2012,03
Andere soorten,Pelagische Vis,Oostende,0.0,0.0,2012,03
Langoestine geheel,Schaal- en Weekdieren,Oostende,3767.0,22564.0,2012,03
Langoestine staartje,Schaal- en Weekdieren,Oostende,383.0,3578.0,2012,03
Noordzeekrab,Schaal- en Weekdieren,Oostende,790.0,3250.0,2012,03
Zeekreeft,Schaal- en Weekdieren,Oostende,107.0,870.0,2012,03
Andere schaaldieren,Schaal- en Weekdieren,Oostende,36.0,22.0,2012,03
Schelpen,Schaal- en Weekdieren,Oostende,22001.0,43702.0,2012,03
Inktvis,Schaal- en Weekdieren,Oostende,62108.0,174164.0,2012,03
Wulk,Schaal- en Weekdieren,Oostende,3357.0,3660.0,2012,03
Andere soorten,Schaal- en Weekdieren,Oostende,0.0,0.0,2012,03
Schelvis,Bodemvis,Zeebrugge,9554.0,14624.0,2012,03
Kabeljauw,Bodemvis,Zeebrugge,30043.0,94782.0,2012,03
Koolvis,Bodemvis,Zeebrugge,8.0,18.0,2012,03
Wijting,Bodemvis,Zeebrugge,19983.0,24156.0,2012,03
Pollak,Bodemvis,Zeebrugge,4285.0,15622.0,2012,03
Leng,Bodemvis,Zeebrugge,5286.0,12632.0,2012,03
Heek,Bodemvis,Zeebrugge,338.0,1022.0,2012,03
Steenbolk,Bodemvis,Zeebrugge,48031.0,25524.0,2012,03
Schol,Bodemvis,Zeebrugge,99267.0,147958.0,2012,03
Bot,Bodemvis,Zeebrugge,24736.0,18034.0,2012,03
Schar,Bodemvis,Zeebrugge,29108.0,15382.0,2012,03
Tong,Bodemvis,Zeebrugge,213028.0,2319444.0,2012,03
Tarbot,Bodemvis,Zeebrugge,11285.0,120118.0,2012,03
Griet,Bodemvis,Zeebrugge,17791.0,126424.0,2012,03
Tongschar,Bodemvis,Zeebrugge,30163.0,110300.0,2012,03
Schartong,Bodemvis,Zeebrugge,11841.0,24624.0,2012,03
Heilbot,Bodemvis,Zeebrugge,23.0,324.0,2012,03
Rog,Bodemvis,Zeebrugge,59926.0,186144.0,2012,03
Rode poon,Bodemvis,Zeebrugge,49515.0,117060.0,2012,03
Grauwe poon,Bodemvis,Zeebrugge,2960.0,1210.0,2012,03
Engelse poon,Bodemvis,Zeebrugge,55997.0,71920.0,2012,03
Zeewolf,Bodemvis,Zeebrugge,0.0,0.0,2012,03
Zeeduivel,Bodemvis,Zeebrugge,20396.0,246856.0,2012,03
Kongeraal,Bodemvis,Zeebrugge,3808.0,4644.0,2012,03
Roodbaars,Bodemvis,Zeebrugge,0.0,0.0,2012,03
Mul,Bodemvis,Zeebrugge,8128.0,60938.0,2012,03
Zeebaars,Bodemvis,Zeebrugge,6455.0,46060.0,2012,03
Doornhaai,Bodemvis,Zeebrugge,0.0,0.0,2012,03
Hondshaai,Bodemvis,Zeebrugge,28015.0,21210.0,2012,03
Zandhaai,Bodemvis,Zeebrugge,0.0,0.0,2012,03
Andere soorten,Bodemvis,Zeebrugge,10437.0,45152.0,2012,03
Haring,Pelagische Vis,Zeebrugge,981.0,344.0,2012,03
Makreel,Pelagische Vis,Zeebrugge,370.0,560.0,2012,03
Sprot,Pelagische Vis,Zeebrugge,0.0,0.0,2012,03
Andere soorten,Pelagische Vis,Zeebrugge,1835.0,5278.0,2012,03
Langoestine geheel,Schaal- en Weekdieren,Zeebrugge,295.0,1414.0,2012,03
Langoestine staartje,Schaal- en Weekdieren,Zeebrugge,77.0,536.0,2012,03
Noordzeekrab,Schaal- en Weekdieren,Zeebrugge,1115.0,6054.0,2012,03
Zeekreeft,Schaal- en Weekdieren,Zeebrugge,33.0,326.0,2012,03
Andere schaaldieren,Schaal- en Weekdieren,Zeebrugge,203.0,194.0,2012,03
Schelpen,Schaal- en Weekdieren,Zeebrugge,41696.0,87606.0,2012,03
Inktvis,Schaal- en Weekdieren,Zeebrugge,55893.0,207194.0,2012,03
Wulk,Schaal- en Weekdieren,Zeebrugge,5770.0,2372.0,2012,03
Andere soorten,Schaal- en Weekdieren,Zeebrugge,0.0,0.0,2012,03
Schelvis,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Kabeljauw,Bodemvis,Nieuwpoort,2064.0,7146.0,2012,03
Koolvis,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Wijting,Bodemvis,Nieuwpoort,64.0,36.0,2012,03
Pollak,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Leng,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Heek,Bodemvis,Nieuwpoort,2.0,2.0,2012,03
Steenbolk,Bodemvis,Nieuwpoort,4.0,2.0,2012,03
Schol,Bodemvis,Nieuwpoort,2945.0,3236.0,2012,03
Bot,Bodemvis,Nieuwpoort,549.0,236.0,2012,03
Schar,Bodemvis,Nieuwpoort,1014.0,962.0,2012,03
Tong,Bodemvis,Nieuwpoort,4557.0,52872.0,2012,03
Tarbot,Bodemvis,Nieuwpoort,171.0,2046.0,2012,03
Griet,Bodemvis,Nieuwpoort,491.0,3398.0,2012,03
Tongschar,Bodemvis,Nieuwpoort,40.0,120.0,2012,03
Schartong,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Heilbot,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Rog,Bodemvis,Nieuwpoort,2862.0,8704.0,2012,03
Rode poon,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Grauwe poon,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Engelse poon,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Zeewolf,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Zeeduivel,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Kongeraal,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Roodbaars,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Mul,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Zeebaars,Bodemvis,Nieuwpoort,72.0,812.0,2012,03
Doornhaai,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Hondshaai,Bodemvis,Nieuwpoort,570.0,560.0,2012,03
Zandhaai,Bodemvis,Nieuwpoort,0.0,0.0,2012,03
Andere soorten,Bodemvis,Nieuwpoort,33.0,74.0,2012,03
Haring,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,03
Makreel,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,03
Sprot,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,03
Andere soorten,Pelagische Vis,Nieuwpoort,0.0,0.0,2012,03
Langoestine geheel,Schaal- en Weekdieren,Nieuwpoort,0.0,0.0,2012,03
